TransactionID,CustomerID,Timestamp,Amount,Merchant,Location,Channel,FraudLabel
sdv-id-gCRUpl,C087,2026-09-02 05:53:42,4036.16,TigoPesa,Zanzibar,MobileApp,1
sdv-id-RPTYDI,C051,2026-09-01 19:48:05,4801.92,AirtelMoney,Dar-es-Salaam,ATM,1
sdv-id-DWWlug,C030,2026-09-01 16:26:14,4544.32,AirtelMoney,Arusha,Web,1
sdv-id-NWKIAD,C081,2026-09-02 05:10:49,5980.01,Shoprite,Zanzibar,Web,1
sdv-id-CQMHOn,C052,2026-09-01 18:56:10,9437.19,NBC_Bank,Mwanza,POS,1
sdv-id-ZyqMtl,C041,2026-09-01 14:00:10,3954.12,Shoprite,Zanzibar,Web,1
sdv-id-JQBcjE,C053,2026-09-01 21:50:57,7829.6,KahawaCafe,Zanzibar,ATM,1
sdv-id-xPRqil,C051,2026-09-01 21:30:35,3664.25,NMB_Bank,Dodoma,POS,1
sdv-id-wXXutb,C012,2026-09-01 11:34:14,7386.89,CRDB_Bank,Dar-es-Salaam,POS,1
sdv-id-FZdGKf,C098,2026-09-02 08:57:05,3999.28,CRDB_Bank,Arusha,Web,1
sdv-id-fDAfLk,C017,2026-09-01 10:19:16,8340.14,AirtelMoney,Dar-es-Salaam,Web,1
sdv-id-VVfLlr,C080,2026-09-02 02:32:57,8160.87,Shoprite,Mbeya,MobileApp,1
sdv-id-nbMSdP,C012,2026-09-01 11:30:23,7224.47,Shoprite,Zanzibar,Web,1
sdv-id-yjZWSW,C036,2026-09-01 15:35:05,1463.36,Shoprite,Dar-es-Salaam,ATM,1
sdv-id-eNiiiD,C018,2026-09-01 12:40:31,8031.47,NBC_Bank,Dar-es-Salaam,Web,1
sdv-id-naIVIg,C012,2026-09-01 11:44:49,1149.13,AirtelMoney,Dar-es-Salaam,POS,1
sdv-id-BMdLWy,C088,2026-09-02 07:56:15,1913.5,CRDB_Bank,Mbeya,POS,1
sdv-id-VtEofL,C079,2026-09-02 08:19:26,813.26,TigoPesa,Mbeya,POS,1
sdv-id-CRsHpp,C032,2026-09-01 19:42:21,5875.75,CRDB_Bank,Mwanza,POS,0
sdv-id-rEiKEr,C031,2026-09-01 16:13:04,8964.16,Vodacom_M-Pesa,Dar-es-Salaam,ATM,1
sdv-id-QRpekT,C088,2026-09-02 03:45:43,4470.69,AirtelMoney,Mbeya,POS,0
sdv-id-IXKbHE,C018,2026-09-01 15:33:57,5685.61,Shoprite,Arusha,Web,1
sdv-id-zyqXZR,C033,2026-09-01 12:29:27,4370.79,Shoprite,Dar-es-Salaam,ATM,1
sdv-id-tTwhgp,C091,2026-09-02 08:14:13,4424.13,AirtelMoney,Mbeya,ATM,1
sdv-id-uVQPMS,C066,2026-09-02 04:46:54,5160.88,Shoprite,Zanzibar,Web,1
